CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,DIRECCIÓN LOCAL,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
DLTAB2445,MANATINERO,LAGUNA MACHONA,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,LAGUNA MACHONA,COSTERO (HUMEDAL),LAGUNA,18.36503,-93.65658
DLTAB2446,LAGUNA PAJONAL,LAGUNA MACHONA,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,LAGUNA PAJONAL,COSTERO (HUMEDAL),LAGUNA,18.34052,-93.73098
DLTAB2447,LAGUNA CARMEN-MACHONA 5,LAGUNA DEL CARMEN,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,LAGUNA PAJONAL,COSTERO (HUMEDAL),LAGUNA,18.3207,-93.722
DLTAB2448,LAGUNA CARMEN-MACHONA 2,LAGUNA DEL CARMEN,,,FRONTERA SUR,TABASCO,TABASCO,HUIMANGUILLO,LAGUNA EL CARMEN,COSTERO (HUMEDAL),LAGUNA,18.26708,-93.7456
DLTAB2449,LAGUNA CARMEN-MACHONA 3,LAGUNA DEL CARMEN,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,LAGUNA EL CARMEN,COSTERO (HUMEDAL),LAGUNA,18.28095,-93.8083
DLTAB2450,LAGUNA CARMEN-MACHONA 4,LAGUNA MACHONA,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,LAGUNA EL CARMEN,COSTERO (HUMEDAL),LAGUNA,18.2988,-93.8486
DLTAB2451,PLAYA SANCHEZ MAGALLANES,LAGUNA DEL CARMEN,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,GOLFO DE MEXICO,COSTERO (HUMEDAL),OCÉANO-MAR,18.2994,-93.8538
DLTAB2452,LAGUNA CARMEN-MACHONA 1,LAGUNA DEL CARMEN,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,LAGUNA EL CARMEN,COSTERO (HUMEDAL),LAGUNA,18.2436,-93.8475
DLTAB2453,SAPAET EJIDO CHICOZAPOTE,,2702,LA CHONTALPA,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,ACUÍFERO LA CHONTALPA,SUBTERRÁNEO,POZO,18.21654,-93.85976
DLTAB2453M1,POZO VILLA BENITO JUAREZ,,2702,LA CHONTALPA,FRONTERA SUR,TABASCO,TABASCO,CARDENAS,ACUÍFERO CHONTALPA,SUBTERRÁNEO,POZO,18.17153,-93.90365
DLTAB2454,SAN FELIPE 2,LAGUNA DEL CARMEN,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,RIO SAN FELIPE,LÓTICO (HUMEDAL),RÍO,18.15739,-93.74266
DLTAB2455,SAN FELIPE 1,LAGUNA DEL CARMEN,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,RIO SAN FELIPE,LÓTICO (HUMEDAL),RÍO,18.11693,-93.6818
DLTAB2456,RIO NARANJEÑO,LAGUNA DEL CARMEN,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,RIO NARANJEÑO,LÓTICO (HUMEDAL),RÍO,18.22814,-93.6348
